index,deg
601,1320
602,643
606,568
607,75
608,361
609,453
611,471
612,440
613,166
614,3866
615,353
616,113
617,172
618,434
619,264
620,444
621,85
622,270
623,251
624,309
625,1378
626,784
627,181
628,582
629,808
630,2604
632,1477
633,1362
634,1114
635,1305
636,1314
637,178
638,872
639,277
640,859
641,767
642,672
645,581
646,488
647,717
648,72
649,88
650,589
651,1343
652,1170
653,321
654,4013
655,3930
656,446
657,33
660,36
661,484
662,3091
664,4643
665,4192
667,1437
668,2846
669,335
670,33
671,2115
672,1844
673,451
674,1770
675,1717
676,815
677,330
678,217
679,114
680,1757
681,413
682,961
683,1113
684,406
687,871
688,1286
690,1786
691,1881
692,1177
694,270
696,373
698,1166
699,276
700,428
701,3039
703,487
704,1112
705,397
706,136
707,16
708,1143
709,1154
711,114
712,1140
713,613
714,2729
715,140
716,1150
717,432
718,35
719,2244
720,1161
721,1926
723,1853
724,13
725,408
726,48
728,71
729,84
730,2027
731,242
732,295
737,245
738,13
739,13
740,1498
741,145
742,97
744,2244
750,51
751,366
752,67
753,858
758,82
760,81
762,246
764,72
765,420
766,351
768,12
769,9
770,385
772,826
773,591
774,413
781,17
782,37
783,108
784,21
785,29
786,180
787,1809
794,683
795,650
800,599
806,42
811,40
813,321
814,356
816,381
819,737
820,1010
826,303
827,282
828,54
829,306
830,284
831,276
832,295
833,300
834,108
835,327
836,70
837,291
838,286
839,283
840,66
841,5644
842,2415
843,302
844,1844
845,1553
846,1599
847,1085
848,1185
850,308
851,320
852,249
858,62
859,229
860,240
861,228
862,247
863,299
864,249
865,333
866,130
867,212
868,280
869,127
870,128
871,296
872,266
873,97
874,130
875,265
876,268
877,235
879,238
886,1067
887,977
888,320
889,95
890,450
891,57
892,348
893,325
894,321
900,358
901,360
902,377
903,293
904,317
906,327
907,74
912,308
913,83
915,335
920,98
923,29
924,17
925,237
926,698
927,522
934,92
941,406
946,463
948,502
951,33
952,46
953,470
954,445
957,461
966,459
968,426
969,490
970,464
971,495
972,460
973,492
974,446
975,115
979,320
981,161
988,513
989,486
990,305
991,399
993,290
994,149
995,518
996,139
997,92
998,103
999,56
1000,46
1001,131
1003,118
1004,46
1005,493
1006,474
1007,513
1017,388
1018,13
1020,497
1032,55
1035,336
1037,43
1040,745
1042,387
1045,864
1047,407
1055,1828
1056,838
1058,511
1059,165
1062,388
1063,147
1066,106
1070,397
1071,7
1073,307
1074,487
1082,1734
1083,162
1086,150
1089,46
1092,564
1093,589
1095,119
1096,71
1101,75
1102,40
1108,392
1109,421
1111,453
1112,144
1114,293
1115,28
1116,880
1128,562
1133,4686
1135,328
1137,402
1138,510
1139,1235
1140,4554
1141,298
1142,686
1144,2264
1145,212
1146,193
1148,244
1149,184
1150,902
1152,132
1153,101
1155,96
1156,94
1157,37
1159,1051
1161,530
1162,148
1163,1302
1164,488
1166,281
1167,182
1169,240
1170,1229
1174,340
1181,214
1184,48
1185,65
1187,87
1188,59
1189,80
1191,11
1193,97
1194,47
1195,2434
1196,94
1197,106
1198,78
1200,43
1201,350
1202,112
1203,50
1204,383
1205,60
1208,52
1210,279
1213,340
1216,573
1218,558
1222,191
1223,310
1225,474
1229,390
1230,54
1233,12
1234,72
1236,101
1241,66
1243,77
1244,76
1245,12
1246,80
1248,10
1251,57
1252,12
1253,71
1254,13
1256,15
1259,90
1265,128
1267,135
1269,113
1270,97
1272,20
1278,467
1279,2092
1280,412
1282,9
1283,91
1284,41
1288,1090
1289,492
1294,41
1298,117
1300,577
1301,566
1302,37
1303,3116
1304,1940
1305,1342
1306,885
1308,1266
1310,37
1317,50
1318,28
1320,38
1328,39
1331,26
1332,117
1333,19
1336,593
1337,176
1338,170
1340,197
1341,87
1342,52
1344,27
1345,4553
1346,224
1347,180
1348,174
1349,45
1350,220
1351,198
1353,1553
1354,230
1355,208
1356,214
1357,202
1358,250
1359,207
1361,150
1363,1727
1364,636
1365,392
1366,68
1368,317
1369,265
1370,161
1371,211
1372,101
1374,105
1376,141
1377,173
1378,68
1379,163
1380,54
1382,214
1385,56
1386,61
1413,240
1414,79
1417,197
1419,78
1420,255
1422,13
1424,737
1425,1819
1437,2980
1440,104
1443,173
1444,149
1446,2673
1448,125
1450,126
1451,109
1452,52
1453,565
1456,34
1460,312
1461,11
1463,131
1464,66
1465,1117
1469,104
1470,110
1471,111
1472,98
1473,120
1474,114
1475,83
1476,136
1479,85
1481,119
1486,1976
1488,63
1492,347
1493,484
1495,615
1497,1195
1498,21
1499,1277
1500,74
1501,950
1502,18
1504,57
1505,92
1508,2955
1511,2046
1512,1920
1514,137
1515,143
1516,122
1517,148
1518,134
1520,89
1521,171
1522,249
1523,270
1529,209
1534,505
1535,767
1537,326
1539,170
1540,210
1541,47
1544,83
1546,49
1548,828
1551,860
1554,17
1565,493
1568,864
1569,370
1570,729
1571,285
1572,749
1573,302
1576,343
1579,483
1583,1543
1584,818
1586,8
1587,8
1588,15
1606,113
1627,65
1628,59
1640,675
1642,330
1646,63
1648,769
1650,1388
1652,5551
1654,635
1655,506
1656,95
1660,1095
1661,301
1663,54
1665,120
1666,559
1667,2287
1668,2824
1669,1625
1670,2608
1671,2111
1672,1706
1675,783
1676,154
1677,215
1678,466
1680,832
1681,779
1682,804
1683,1055
1684,988
1688,416
1690,417
1691,685
1692,57
1694,695
1695,776
1696,317
1697,103
1698,2017
1699,780
1700,2003
1701,1577
1702,1228
1703,795
1705,165
1706,784
1707,1534
1708,1006
1709,108
1710,89
1711,797
1713,2287
1715,171
1716,790
1717,426
1718,666
1721,787
1723,183
1725,316
1726,613
1727,824
1728,628
1729,155
1732,1980
1733,2529
1735,40
1738,916
1739,1135
1740,588
1741,61
1742,1425
1743,913
1744,932
1745,859
1746,925
1748,950
1749,99
1751,318
1752,1958
1753,1797
1754,1557
1755,1990
1756,1384
1757,1456
1758,1401
1759,1027
1760,1119
1761,866
1762,803
1763,893
1764,658
1765,650
1766,615
1767,470
1768,609
1769,30
1770,831
1772,69
1773,1064
1775,31
1777,46
1778,115
1780,999
1781,478
1782,334
1783,191
1784,3878
1785,2485
1786,2574
1787,2333
1788,908
1789,319
1790,246
1791,44
1792,24
1794,1245
1795,305
1796,133
1797,30
1798,83
1799,1707
1802,733
1806,1300
1809,522
1810,11
1811,67
1813,109
1815,41
1818,903
1819,33
1820,411
1821,382
1822,366
1823,359
1824,272
1825,904
1826,257
1827,206
1828,88
1829,80
1830,53
1831,51
1832,862
1833,2436
1834,414
1835,300
1836,239
1837,83
1838,37
1842,1590
1843,1419
1845,876
1846,785
1847,2737
1848,511
1849,447
1854,841
1870,1036
1881,2787
1882,1068
1883,910
1884,699
1885,631
1886,251
1887,761
1888,87
1889,729
1890,1934
1891,1002
1892,834
1893,1644
1894,1425
1895,845
1896,542
1899,677
1901,179
1902,909
1903,832
1904,351
1905,245
1906,848
1907,849
1908,473
1909,834
1910,147
1911,125
1912,120
1913,813
1915,842
1916,873
1917,839
1918,178
1919,14
1921,1094
1922,220
1932,876
1933,2597
1938,324
1952,547
1955,202
1969,180
1972,218
1973,158
1974,277
1977,517
1978,489
1985,514
1988,484
1991,598
1993,533
1994,560
1995,587
2009,590
2017,618
2018,1037
2020,566
2021,89
2022,583
2025,222
2026,563
2031,98
2037,133
2040,564
2041,563
2042,592
2043,2924
2044,631
2045,591
2046,1587
2056,759
2057,535
2067,514
2073,46
2075,157
2076,24
2078,510
2079,469
2085,126
2089,32
2093,808
2094,759
2096,663
2105,275
2106,269
2112,351
2120,678
2124,471
2127,120
2129,440
2130,337
2134,253
2136,315
2137,130
2145,365
2149,1780
2151,39
2152,645
2153,162
2155,1909
2156,29
2157,51
2159,166
2161,19
2162,19
2163,1748
2164,663
2165,634
2166,656
2167,627
2168,1260
2169,1294
2170,661
2171,667
2172,711
2173,664
2174,808
2175,412
2182,2340
2185,475
2186,233
2187,600
2188,709
2189,268
2196,2307
2197,2300
2199,423
2200,13
2201,619
2203,718
2204,214
2206,335
2207,3120
2208,1269
2209,1340
2210,451
2211,4431
2212,4530
2213,742
2214,4098
2216,24
2217,94
2218,2884
2222,353
2223,644
2224,2949
2225,665
2226,5
2227,976
2228,688
2229,621
2230,702
2231,34
2232,661
2233,698
2234,732
2235,706
2236,782
2237,694
2238,622
2241,670
2242,282
2243,716
2244,699
2245,713
2246,724
2247,632
2248,710
2250,51
2257,146
2263,99
2265,87
2268,89
2274,80
2278,1225
2279,787
2280,832
2281,407
2282,276
2283,136
2284,101
2285,141
2287,479
2288,317
2289,194
2290,76
2296,79
2298,175
2302,645
2306,632
2308,43
2311,6
2317,652
2319,565
2321,432
2322,372
2323,321
2328,120
2329,97
2337,72
2356,900
2359,76
2361,938
2363,827
2367,724
2369,970
2370,797
2372,850
2374,984
2375,920
2376,1060
2378,1081
2379,1422
2383,385
2384,394
2386,393
2387,409
2392,718
2394,393
2401,720
2403,185
2410,931
2414,150
2415,133
2416,269
2417,131
2418,112
2419,99
2420,93
2421,88
2423,64
2424,1250
2426,290
2428,78
2429,302
2432,271
2433,248
2434,878
2435,136
2437,987
2441,315
2442,14
2443,20
2445,73
2447,180
2448,290
2449,196
2451,82
2452,620
2453,400
2454,287
2455,283
2456,290
2457,44
2458,44
2459,247
2462,97
2464,247
2465,197
2466,178
2467,414
2472,126
2473,371
2477,106
2490,519
2491,503
2492,417
2499,391
2500,369
2506,290
2507,388
2508,398
2509,242
2512,337
2519,466
2521,439
2528,656
2529,658
2530,705
2531,642
2532,608
2535,42
2536,594
2537,510
2538,544
2544,660
2545,531
2546,459
2549,692
2555,561
2575,483
2578,701
2579,535
2582,315
2583,4071
2584,4583
2585,513
2587,3424
2588,3519
2592,386
2593,342
2594,306
2597,2692
2605,203
2606,4379
2607,10
2609,9
2610,9
2611,524
2612,684
2613,627
2614,591
2615,546
2616,510
2618,524
2620,122
2622,555
2623,538
2624,649
2626,13
2627,558
2629,684
2632,885
2633,699
2634,816
2636,1126
2637,1432
2638,1412
2639,1836
2640,364
2641,560
2642,674
2646,538
2651,1269
2656,3597
2658,353
2660,363
2661,331
2662,296
2664,3639
2666,386
2669,201
2671,19
2672,3438
2674,6236
2675,3412
2676,3510
2677,3609
2678,3531
2679,160
2680,3553
2681,3606
2682,90
2683,656
2684,129
2685,763
2686,41
2690,703
2691,497
2692,512
2695,457
2696,644
2699,2384
2700,1826
2702,1561
2706,41
2707,18
2709,3152
2710,3189
2714,3215
2716,134
2717,4705
2719,1006
2723,2417
2726,856
2729,378
2730,71
2732,409
2734,191
2739,3149
2740,210
2741,3202
2747,70
2748,1937
2754,3299
2755,1219
2756,245
2757,1352
2758,200
2764,411
2765,416
2767,127
2768,1309
2769,90
2770,268
2771,1117
2772,1160
2773,1092
2774,1026
2775,1017
2776,979
2777,786
2778,723
2779,196
2780,218
2782,629
2783,691
2788,1357
2789,3202
2790,21
2791,3350
2792,3197
2793,3305
2794,3323
2795,157
2796,3268
2797,13
2799,3377
2800,2808
2801,3376
2802,3315
2804,3401
2805,3286
2806,2593
2807,888
2808,600
2809,467
2811,270
2812,603
2813,2907
2814,2852
2816,3052
2817,913
2819,902
2820,752
2821,817
2822,724
2823,784
2824,3060
2825,640
2827,3007
2828,472
2829,115
2831,540
2832,2840
2834,530
2835,476
2836,513
2837,3025
2838,3049
2840,79
2841,1257
2842,716
2843,897
2844,498
2845,1722
2846,1775
2847,1762
2848,1367
2849,1247
2852,1213
2854,1334
2855,1309
2857,955
2858,984
2859,987
2860,2507
2861,1024
2864,828
2865,2902
2866,2916
2867,2999
2868,888
2869,3040
2872,3165
2873,217
2876,188
2878,138
2880,3091
2881,135
2882,131
2886,124
2887,123
2888,116
2899,344
2900,3013
2901,19
2902,3038
2903,212
2904,439
2906,377
2908,407
2913,560
2916,272
2919,250
2920,126
2927,74
2928,3410
2929,478
2930,2998
2931,536
2932,2434
2933,2246
2934,2228
2936,2072
2937,1753
2938,75
2939,1943
2941,632
2942,6646
2943,73
2944,73
2945,2781
2946,671
2947,687
2949,644
2951,660
2952,48
2953,6
2954,629
2955,4116
2956,191
2957,52
2958,37
2959,28
2965,594
2967,642
2968,526
2970,2722
2971,545
2972,2478
2973,2668
2974,2670
2976,509
2977,584
2978,338
2979,2580
2980,2744
2981,2646
2982,180
2983,163
2984,1153
2985,2919
2988,679
2991,727
2993,761
2998,710
2999,2295
3002,692
3003,906
3004,2912
3006,90
3009,369
3010,703
3012,402
3014,2929
3016,3707
3017,2260
3018,1047
3019,2657
3020,591
3023,4785
3024,4089
3025,3811
3026,2920
3027,2610
3029,2817
3030,2630
3031,2623
3032,2713
3033,713
3034,121
3035,2589
3036,2303
3037,2540
3038,1701
3039,1782
3040,3318
3041,742
3045,873
3050,145
3056,731
3057,66
3061,432
3065,223
3069,852
3070,742
3072,1130
3073,985
3077,280
3079,3168
3081,3131
3082,3128
3085,3029
3095,3060
3097,277
3099,11
3106,278
3111,271
3113,351
3122,274
3126,141
3128,359
3130,671
3132,284
3143,377
3147,179
3151,320
3153,3003
3156,303
3157,1617
3161,80
3164,104
3165,79
3166,62
3167,19
3168,109
3169,68
3170,194
3171,1932
3172,416
3173,1515
3174,683
3175,639
3176,195
3178,38
3179,5706
3186,697
3193,3319
3194,3167
3195,2074
3196,1534
3199,462
3203,3049
3204,575
3210,48
3214,785
3220,345
3222,6176
3223,4305
3224,949
3225,1277
3226,346
3227,206
3228,165
3231,99
3232,43
3233,1843
3235,1773
3236,178
3237,176
3239,1257
3240,1247
3241,3183
3252,125
3253,118
3254,69
3255,137
3261,165
3266,147
3276,4045
3278,2573
3280,375
3281,142
3282,607
3283,286
3284,1329
3285,1700
3286,1764
3288,275
3289,1322
3290,1329
3291,1117
3293,1267
3297,206
3298,145
3308,2317
3315,128
3316,17
3317,2464
3318,2240
3320,2199
3321,2167
3322,1877
3323,12624
3324,90
3328,1925
3329,1812
3330,754
3334,44
3335,14576
3338,63
3339,1071
3340,894
3342,1216
3343,1099
3344,1976
3347,785
3348,2283
3349,339
3350,546
3351,869
3353,796
3355,58
3359,290
3364,84
3371,990
3372,1165
3375,1224
3377,76
3380,220
3381,90
3390,10725
3393,66
3399,87
3400,79
3402,15
3404,85
3405,85
3406,85
3408,503
3409,91
3410,92
3412,4451
3413,4501
3414,4216
3415,4297
3416,90
3418,126
3419,329
3421,94
3425,521
3429,2369
3430,248
3431,3727
3433,82
3434,1566
3435,81
3437,238
3438,278
3440,302
3441,1401
3444,908
3448,244
3459,11505
3465,3174
3474,189
3475,3418
3476,10882
3477,3485
3478,11287
3479,302
3480,3320
3481,2818
3482,2377
3483,1809
3490,11303
3493,111
3496,189
3498,235
3499,167
3502,314
3504,143
3506,3126
3507,2793
3509,2472
3510,2465
3514,494
3517,215
3518,7
3519,9
3526,2281
3527,1322
3529,1164
3530,1675
3531,55
3532,66
3533,14
3542,489
3543,325
3546,2262
3548,55
3549,93
3550,253
3552,3517
3553,1117
3554,624
3557,207
3558,59
3560,37
3561,88
3566,91
3571,34
3576,37
3578,141
3579,29
3580,1962
3581,141
3583,166
3584,31
3585,202
3586,234
3587,89
3589,279
3590,178
3592,383
3593,500
3594,177
3596,600
3597,500
3598,570
3600,304
3601,40
3603,1035
3604,78
3606,257
3608,172
3609,173
3613,257
3617,272
3618,657
3619,741
3624,630
3625,569
3627,469
3628,370
3630,419
3631,391
3633,314
3634,412
3635,326
3636,295
3637,255
3638,273
3639,284
3640,975
3641,226
3643,146
3644,188
3645,205
3646,68
3650,2524
3651,2938
3653,3266
3656,72
3658,4316
3659,4759
3661,136
3662,439
3663,235
3665,47
3667,57
3668,5049
3673,27
3674,58
3676,198
3677,1628
3679,928
3680,832
3681,794
3690,842
3691,629
3693,29
3694,67
3702,305
3704,757
3705,135
3706,142
3707,114
3708,113
3709,100
3710,99
3712,89
3713,1515
3715,1329
3718,153
3719,436
3721,158
3722,153
3723,904
3724,766
3725,118
3726,135
3729,177
3730,397
3731,671
3732,6019
3733,5863
3734,5822
3735,5746
3736,268
3737,269
3738,5852
3739,225
3740,5820
3741,205
3742,217
3743,199
3744,168
3745,174
3746,176
3747,5739
3748,142
3751,113
3752,6054
3757,30
3760,6242
3761,5339
3762,4995
3763,4985
3764,4492
3765,5001
3766,4884
3767,5143
3768,4657
3769,5093
3770,5332
3771,5090
3772,5205
3773,109
3774,5375
3775,4842
3776,6086
3777,5374
3778,5445
3779,5376
3780,507
3781,5493
3782,5546
3783,5691
3784,5342
3785,5604
3786,5665
3787,296
3788,299
3789,5508
3791,6793
3792,6850
3793,6813
3794,6933
3795,497
3796,7062
3797,7454
3798,6860
3799,7049
3800,7229
3802,426
3803,300
3805,6732
3806,7539
3807,6717
3808,7703
3810,7645
3812,329
3813,7732
3814,78
3815,96
3816,71
3817,7672
3818,33
3819,6456
3820,6227
3821,6094
3822,335
3823,274
3824,166
3825,102
3826,2787
3827,6137
3828,6228
3829,1143
3830,110
3831,6335
3832,6467
3833,4868
3835,6625
3841,469
3842,456
3846,6763
3847,4061
3848,3775
3849,3874
3850,3907
3851,3831
3852,845
3853,3912
3854,944
3855,3995
3857,2013
3858,4038
3859,6187
3860,4067
3862,886
3864,4051
3865,4114
3866,133
3867,4250
3868,4033
3869,4308
3870,4321
3871,4442
3872,4270
3873,4375
3877,278
3878,193
3890,3590
3895,104
3896,3693
3899,3594
3900,3624
3901,3856
3903,3745
3904,583
3915,4432
3916,592
3923,546
3928,4560
3929,698
3930,4590
3932,306
3933,361
3938,308
3940,3887
3941,176
3948,412
3958,4326
3962,633
3963,1047
3964,970
3965,962
3966,929
3967,884
3968,838
3969,827
3970,821
3971,779
3972,721
3973,710
3974,708
3975,640
3977,1317
3978,609
3979,578
3982,589
3984,605
3985,519
3986,453
3987,18
3988,10243
3989,24
3990,233
3992,24
3998,322
3999,58
4000,95
4001,1516
4002,496
4008,580
4010,437
4013,3199
4014,2204
4015,2275
4016,10
4017,1610
4018,433
4019,1529
4020,304
4021,44
4022,55
4023,48
4028,207
4029,210
4030,10656
4031,229
4036,162
4039,225
4041,92
4042,151
4043,204
4045,153
4046,251
4047,121
4049,256
4050,432
4051,44
4052,419
4055,405
4056,316
4057,140
4058,170
4059,310
4060,300
4061,295
4062,271
4064,257
4065,213
4066,218
4067,209
4068,545
4069,3
4078,9841
4079,10105
4080,1428
4082,1545
4083,132
4086,1000
4087,676
4088,65
4089,93
4090,66
4091,337
4095,245
4096,15
4098,158
4101,976
4102,1054
4103,572
4105,934
4107,402
4110,7891
4112,392
4113,381
4115,7628
4117,371
4118,425
4120,303
4126,9054
4128,9152
4129,9210
4131,9809
4133,9740
4134,991
4135,570
4139,321
4140,344
4142,167
4143,404
4144,284
4145,315
4146,210
4147,201
4148,430
4151,131
4152,110
4155,174
4156,528
4162,167
4164,1044
4177,366
4178,48
4179,1249
4180,1257
4181,203
4182,49
4183,407
4185,724
4186,532
4187,560
4188,34
4194,155
4206,142
4213,131
4214,138
4222,573
4223,249
4224,274
4225,264
4227,242
4228,11
4229,11
4230,26
4233,45
4234,31
4246,232
4250,181
4252,79
4253,93
4254,92
4255,93
4256,109
4257,103
4258,115
4259,148
4261,154
4262,142
4263,115
4264,149
4265,80
4266,577
4267,192
4268,121
4269,4474
4270,2419
4271,103
4272,1621
4273,1028
4274,978
4275,586
4277,2391
4278,1884
4279,870
4285,523
4287,485
4289,723
4290,734
4291,1766
4295,1867
4296,64
4297,158
4298,156
4299,127
4300,124
4301,91
4302,75
4303,75
4304,75
4305,75
4306,82
4308,1809
4309,1854
4310,1795
4311,988
4312,796
4313,784
4317,575
4318,641
4322,1792
4325,371
4326,57
4333,418
4334,117
4338,201
4342,582
4351,225
4356,650
4357,465
4358,431
4359,371
4360,279
4361,145
4362,112
4363,83
4364,74
4367,1890
4368,389
4370,338
4371,382
4374,501
4375,357
4379,10
4381,15
4385,42
4386,332
4394,63
4395,626
4397,32
4408,1513
4421,85
4422,60
4423,41
4424,12
4425,12
4427,184
4428,90
4429,38
4430,49
4433,78
4434,69
4437,50
4438,1965
4440,3514
4442,55
4444,199
4447,928
4448,1275
4449,465
4450,2055
4460,90
4462,78
4463,39
4466,2007
4470,1952
4473,819
4474,1760
4480,23
4481,1899
4486,63
4488,34
4489,1335
4497,71
4499,1877
4500,464
4501,1866
4502,252
4503,1961
4504,1914
4505,1929
4506,1997
4507,1919
4510,211
4511,2595
4513,67
4514,110
4515,169
4516,302
4517,393
4518,1915
4519,1867
4520,694
4521,672
4523,88
4524,1816
4525,621
4526,473
4529,294
4531,508
4533,364
4534,344
4535,264
4536,76
4537,484
4538,723
4539,714
4540,640
4541,635
4542,587
4543,637
4544,587
4545,573
4546,603
4547,531
4548,544
4549,544
4550,525
4551,539
4552,727
4553,474
4554,495
4555,427
4556,455
4557,428
4558,364
4559,370
4560,365
4561,378
4562,386
4563,376
4564,349
4565,358
4566,1408
4567,210
4568,203
4569,186
4570,183
4571,287
4572,284
4573,231
4574,236
4575,240
4576,306
4577,336
4578,369
4579,1510
4580,1486
4581,353
4582,1276
4583,1227
4584,1177
4585,1169
4586,1148
4587,989
4588,956
4589,888
4590,907
4591,909
4592,802
4593,748
4594,691
4595,24
4596,140
4597,352
4598,446
4599,499
4600,576
4601,606
4602,117
4603,746
4604,147
4605,130
4606,891
4608,5
4609,9
4610,344
4611,112
4612,129
4613,123
4614,125
4617,16
4618,98
4619,103
4623,94
4624,228
4625,276
4626,319
4627,292
4628,267
4629,267
4630,271
4631,258
4632,259
4633,257
4634,220
4635,240
4636,224
4637,214
4638,1946
4639,221
4640,159
4641,183
4642,200
4643,198
4644,176
4645,170
4646,155
4647,364
4648,1783
4649,337
4650,318
4651,150
4652,1628
4659,84
4660,87
4663,5556
4664,1468
4665,1386
4666,1467
4668,164
4669,68
4670,2657
4671,1930
4672,1240
4673,655
4674,477
4675,503
4676,416
4678,385
4683,1521
4684,1542
4685,1531
4692,31
4693,36
4695,1567
4696,1556
4705,125
4709,1562
4711,87
4712,340
4713,1109
4714,200
4715,241
4716,1010
4717,1168
4718,1722
4719,1968
4721,154
4722,2454
4723,10
4724,12
4725,250
4726,1553
4727,171
4728,3754
4729,2804
4730,2704
4731,1461
4732,324
4733,66
4734,1561
4735,70
4736,93
4737,2504
4738,70
4741,89
4742,74
4745,44
4747,39
4748,325
4755,17
4756,1129
4757,1111
4758,324
4770,268
4780,223
4785,395
4786,205
4792,195
4798,133
4799,220
4800,114
4801,66
4802,46
4803,40
4805,3372
4806,2579
4807,1694
4808,819
4817,240
4820,186
4825,249
4826,170
4827,1811
4828,18
4829,2332
4831,1456
4832,67
4835,422
4836,1438
4837,1480
4838,1418
4839,304
4841,215
4842,1396
4843,1546
4844,1470
4846,351
4847,1525
4850,1521
4851,1525
4852,1470
4853,1593
4860,164
4870,187
4875,1500
4877,169
4878,1405
4879,1448
4880,38
4881,46
4884,2606
4885,2149
4887,131
4893,596
4897,1572
4900,38
4901,62
4902,220
4904,60
4905,1770
4907,2736
4911,1671
4912,149
4913,372
4914,437
4915,102
4916,1603
4917,429
4918,509
4919,79
4920,517
4921,593
4922,1627
4923,661
4924,1127
4925,554
4926,2697
4927,802
4928,558
4929,1706
4931,1693
4933,1051
4934,1183
4937,234
4938,589
4939,271
4940,188
4941,10
4943,28
4944,25
4945,736
4946,1817
4947,1685
4948,1705
4949,1807
4950,1870
4951,1747
4952,1773
4953,1839
4954,1726
4956,1836
4957,1741
4958,1763
4959,1835
4960,44
4961,1835
4962,38
4963,1783
4964,1833
4965,1817
4966,1800
4967,1782
4968,1850
4969,1700
4970,2973
4971,105
4976,392
4983,309
4985,800
4987,1697
4992,16
4997,1174
4999,4030
5001,58
5003,107
5004,680
5005,26
5011,3991
5012,3151
5017,5271
5018,13
5019,2273
5020,662
5022,120
5023,244
5025,1434
5026,384
5027,328
5028,3345
5029,1121
5030,1371
5031,142
5032,1604
5033,2815
5034,3209
5035,362
5036,903
5038,1598
5040,228
5041,53
5042,2273
5043,207
5044,176
5045,39
5047,250
5048,290
5049,355
5050,439
5051,15
5052,422
5053,421
5054,584
5055,154
5057,82
5058,92
5060,103
5062,16
5063,121
5064,1572
5065,157
5066,468
5067,139
5069,176
5070,87
5071,146
5072,176
5073,225
5074,205
5075,204
5076,215
5080,195
5081,242
5082,311
5084,281
5085,1628
5086,1601
5087,820
5088,1650
5089,1706
5090,54
5091,34
5092,85
5095,433
5096,1694
5098,1512
